Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Égypte","Importations - Quantité","Viande de Volailles","2013","125"
"Bilans Alimentaires","Égypte","Exportations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","El Salvador","Production","Viande de Volailles","2013","114"
"Bilans Alimentaires","El Salvador","Importations - Quantité","Viande de Volailles","2013","17"
"Bilans Alimentaires","El Salvador","Exportations - Quantité","Viande de Volailles","2013","5"
"Bilans Alimentaires","Émirats arabes unis","Production","Viande de Volailles","2013","45"
"Bilans Alimentaires","Émirats arabes unis","Importations - Quantité","Viande de Volailles","2013","375"
"Bilans Alimentaires","Émirats arabes unis","Exportations - Quantité","Viande de Volailles","2013","45"
"Bilans Alimentaires","Équateur","Production","Viande de Volailles","2013","342"
"Bilans Alimentaires","Équateur","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Équateur","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Espagne","Production","Viande de Volailles","2013","1329"
"Bilans Alimentaires","Espagne","Importations - Quantité","Viande de Volailles","2013","171"
"Bilans Alimentaires","Espagne","Exportations - Quantité","Viande de Volailles","2013","141"
"Bilans Alimentaires","Estonie","Production","Viande de Volailles","2013","18"
"Bilans Alimentaires","Estonie","Importations - Quantité","Viande de Volailles","2013","20"
"Bilans Alimentaires","Estonie","Exportations - Quantité","Viande de Volailles","2013","11"
"Bilans Alimentaires","États-Unis d'Amérique","Production","Viande de Volailles","2013","20085"
"Bilans Alimentaires","États-Unis d'Amérique","Importations - Quantité","Viande de Volailles","2013","101"
"Bilans Alimentaires","États-Unis d'Amérique","Exportations - Quantité","Viande de Volailles","2013","4086"
"Bilans Alimentaires","Éthiopie","Production","Viande de Volailles","2013","62"
"Bilans Alimentaires","Éthiopie","Importations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Éthiopie","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Fédération de Russie","Production","Viande de Volailles","2013","3457"
"Bilans Alimentaires","Fédération de Russie","Importations - Quantité","Viande de Volailles","2013","530"
"Bilans Alimentaires","Fédération de Russie","Exportations - Quantité","Viande de Volailles","2013","30"
"Bilans Alimentaires","Fidji","Production","Viande de Volailles","2013","18"
"Bilans Alimentaires","Fidji","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Fidji","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Finlande","Production","Viande de Volailles","2013","111"
"Bilans Alimentaires","Finlande","Importations - Quantité","Viande de Volailles","2013","16"
"Bilans Alimentaires","Finlande","Exportations - Quantité","Viande de Volailles","2013","13"
"Bilans Alimentaires","France","Production","Viande de Volailles","2013","1702"
"Bilans Alimentaires","France","Importations - Quantité","Viande de Volailles","2013","423"
"Bilans Alimentaires","France","Exportations - Quantité","Viande de Volailles","2013","579"
"Bilans Alimentaires","Gabon","Production","Viande de Volailles","2013","4"
"Bilans Alimentaires","Gabon","Importations - Quantité","Viande de Volailles","2013","70"
"Bilans Alimentaires","Gabon","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Gambie","Production","Viande de Volailles","2013","1"
"Bilans Alimentaires","Gambie","Importations - Quantité","Viande de Volailles","2013","4"
"Bilans Alimentaires","Gambie","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Géorgie","Production","Viande de Volailles","2013","10"
"Bilans Alimentaires","Géorgie","Importations - Quantité","Viande de Volailles","2013","43"
"Bilans Alimentaires","Géorgie","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Ghana","Production","Viande de Volailles","2013","51"
"Bilans Alimentaires","Ghana","Importations - Quantité","Viande de Volailles","2013","173"
"Bilans Alimentaires","Ghana","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Grèce","Production","Viande de Volailles","2013","131"
"Bilans Alimentaires","Grèce","Importations - Quantité","Viande de Volailles","2013","73"
"Bilans Alimentaires","Grèce","Exportations - Quantité","Viande de Volailles","2013","19"
"Bilans Alimentaires","Grenade","Production","Viande de Volailles","2013","1"
"Bilans Alimentaires","Grenade","Importations - Quantité","Viande de Volailles","2013","7"
"Bilans Alimentaires","Grenade","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Guatemala","Production","Viande de Volailles","2013","192"
"Bilans Alimentaires","Guatemala","Importations - Quantité","Viande de Volailles","2013","89"
"Bilans Alimentaires","Guatemala","Exportations - Quantité","Viande de Volailles","2013","8"
"Bilans Alimentaires","Guinée","Production","Viande de Volailles","2013","9"
"Bilans Alimentaires","Guinée","Importations - Quantité","Viande de Volailles","2013","13"
"Bilans Alimentaires","Guinée","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Guinée-Bissau","Production","Viande de Volailles","2013","2"
"Bilans Alimentaires","Guinée-Bissau","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Guyana","Production","Viande de Volailles","2013","29"
"Bilans Alimentaires","Guyana","Importations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Guyana","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Haïti","Production","Viande de Volailles","2013","9"
"Bilans Alimentaires","Haïti","Importations - Quantité","Viande de Volailles","2013","70"
"Bilans Alimentaires","Honduras","Production","Viande de Volailles","2013","151"
"Bilans Alimentaires","Honduras","Importations - Quantité","Viande de Volailles","2013","17"
"Bilans Alimentaires","Honduras","Exportations - Quantité","Viande de Volailles","2013","3"
"Bilans Alimentaires","Hongrie","Production","Viande de Volailles","2013","405"
"Bilans Alimentaires","Hongrie","Importations - Quantité","Viande de Volailles","2013","56"
